iter,time,loss_net,loss_scale,norm,norm_average
0,14,0.4183226227760315,32768.0,inf,10.0
100,18,0.5824267864227295,1054.719970703125,inf,18.462646484375
200,19,0.49010756611824036,128.0,50.30393600463867,31.76457977294922
300,22,0.3755837678909302,128.0,41.63557434082031,37.92817687988281
400,20,nan,123.5199966430664,nan,40.558109283447266
500,20,0.23117591440677643,64.0,40.586273193359375,40.6243782043457
600,21,0.18736429512500763,64.0,31.5413761138916,34.67513656616211
700,20,0.16980034112930298,64.0,28.27027130126953,29.124570846557617
800,23,0.14859552681446075,64.0,26.70660972595215,28.854520797729492
900,20,nan,40.63999938964844,nan,24.661823272705078
1000,21,0.10674293339252472,32.0,19.82178497314453,21.503067016601562
1100,18,0.0959899052977562,32.0,18.89275360107422,19.944599151611328
1200,20,0.09969613701105118,32.0,18.534948348999023,18.43439292907715
1300,20,0.08394620567560196,32.0,14.859162330627441,17.032276153564453
1400,19,0.08674313873052597,32.0,18.04845428466797,16.939477920532227
1500,22,0.06936132907867432,32.0,15.316100120544434,16.648025512695312
1600,20,0.07849234342575073,32.0,17.102935791015625,15.668683052062988
1700,20,0.06276831030845642,32.0,11.563643455505371,15.015246391296387
1800,18,0.06871797889471054,32.0,12.308720588684082,12.75973892211914
