iter,time,loss_net,loss_scale,norm,norm_average
0,16,0.39857447147369385,32768.0,4.470459461212158,9.944704055786133
100,17,0.6168253421783447,1106.56005859375,inf,20.708606719970703
200,21,0.4925632178783417,64.0,70.48176574707031,31.302833557128906
300,21,0.5382558703422546,64.0,49.04270935058594,37.594539642333984
400,20,0.41065680980682373,64.0,66.376708984375,37.71602249145508
500,18,0.3364323675632477,64.0,52.65940856933594,36.70298767089844
600,18,nan,40.0,nan,34.18479537963867
700,17,0.2017563283443451,32.0,32.493099212646484,32.585262298583984
800,23,0.1584130823612213,32.0,23.052528381347656,28.762256622314453
900,21,0.164323627948761,32.0,28.54522705078125,26.006175994873047
1000,22,0.14456215500831604,32.0,21.656946182250977,24.295799255371094
1100,18,0.12236272543668747,32.0,17.497943878173828,21.333393096923828
1200,20,0.11346200853586197,32.0,17.17754364013672,17.97154998779297
1300,23,0.11344122141599655,32.0,19.811965942382812,18.933223724365234
1400,20,nan,16.479999542236328,nan,17.739023208618164
1500,19,0.07315468788146973,16.0,15.566457748413086,16.962909698486328
1600,21,0.08275002241134644,16.0,13.695076942443848,15.05644416809082
1700,21,0.07712886482477188,16.0,13.399828910827637,14.075754165649414
1800,20,0.08459731191396713,16.0,14.410645484924316,13.310842514038086
1900,19,0.0766085609793663,16.0,12.714787483215332,13.510649681091309
2000,19,0.06703980267047882,16.0,12.3346529006958,12.376033782958984
2100,23,0.05939517915248871,16.0,10.818802833557129,11.971639633178711
2200,22,0.058370091021060944,16.0,10.380531311035156,11.305793762207031
2300,20,0.048310838639736176,16.0,9.148820877075195,9.96667194366455
2400,20,0.058587443083524704,31.520000457763672,10.181377410888672,10.016621589660645
2500,18,0.07442238181829453,32.0,13.843693733215332,10.909981727600098
2600,22,0.051082439720630646,32.0,8.426417350769043,11.493412017822266
2700,21,nan,31.040000915527344,nan,9.003472328186035
2800,21,0.06213236227631569,16.0,10.626443862915039,9.422815322875977
2900,20,0.05331188067793846,16.0,10.4152193069458,9.992164611816406
3000,19,0.04468563571572304,16.0,8.627167701721191,9.17740249633789
3100,22,0.0408146046102047,16.0,8.386968612670898,8.900910377502441
3200,22,0.061775922775268555,16.0,11.969988822937012,10.3082914352417
3300,19,0.043714489787817,16.0,7.882477283477783,9.329853057861328
3400,18,0.04453152045607567,16.0,7.713348865509033,8.318000793457031
3500,21,0.05001295730471611,16.0,8.927896499633789,8.499643325805664
3600,21,0.054208070039749146,16.0,10.040445327758789,8.910516738891602
3700,19,0.03945179656147957,16.959999084472656,7.989069938659668,8.999459266662598
3800,20,nan,17.440000534057617,nan,8.712092399597168
3900,20,0.05296696722507477,16.0,10.23169231414795,9.768442153930664
4000,18,0.049125708639621735,16.0,8.147526741027832,9.470359802246094
4100,20,0.04175263270735741,16.0,7.9074015617370605,8.484928131103516
4200,19,0.03533928468823433,16.0,6.001643657684326,7.051196098327637
4300,20,0.03438086435198784,16.0,7.127263069152832,6.839663028717041
4400,21,0.03625217825174332,16.0,6.024100303649902,6.591365814208984
4500,22,0.04151501506567001,16.0,6.218192100524902,6.043073654174805
4600,22,0.03812028095126152,16.0,7.202311992645264,6.669608116149902
4700,21,0.03319394588470459,16.0,6.766449451446533,6.942901134490967
4800,21,0.04144871607422829,30.559999465942383,7.656199932098389,7.152518272399902
4900,22,0.03190000355243683,32.0,5.7793378829956055,6.610813140869141
5000,292,0.029387816786766052,32.0,5.39154052734375,5.989692211151123
5100,17,0.034964676946401596,32.0,5.8358659744262695,5.605396747589111
5200,16,0.030587688088417053,32.0,5.924006462097168,5.903830528259277
5300,19,0.03248116374015808,32.0,5.3595356941223145,5.700600624084473
5400,20,0.03141509369015694,32.0,6.120222091674805,5.715183734893799
5500,19,0.0276385135948658,32.0,4.7980780601501465,5.44376277923584
5600,21,0.03895867243409157,32.0,6.692936897277832,5.433177947998047
5700,19,0.02733987756073475,32.0,4.648989677429199,5.500375270843506
5800,19,0.04203559458255768,61.119998931884766,7.0640997886657715,5.876839637756348
5900,25,0.03502970188856125,64.0,6.5503458976745605,6.439660549163818
6000,19,0.029116706922650337,64.0,4.712093830108643,5.825535774230957
6100,21,nan,51.84000015258789,nan,5.468111991882324
6200,21,0.030622314661741257,32.0,4.816953659057617,5.071666717529297
6300,25,nan,22.719999313354492,nan,5.005117893218994
6400,22,0.02819741889834404,16.0,5.547800064086914,5.194342613220215
6500,21,0.03232759237289429,16.0,5.523411273956299,5.648847579956055
6600,18,0.02579360641539097,16.0,4.6115875244140625,5.063983917236328
6700,21,0.03363886848092079,16.0,5.77318000793457,5.144406795501709
6800,22,0.02712305076420307,16.0,4.463119983673096,4.889838218688965
6900,23,nan,10.479999542236328,nan,5.0974345207214355
7000,17,0.03790019452571869,8.0,6.250070095062256,5.41701602935791
7100,21,0.023380165919661522,8.0,4.762982368469238,5.458677768707275
7200,20,0.026097815483808517,8.0,5.738933563232422,5.209771633148193
7300,21,0.030443888157606125,8.0,6.629978179931641,6.202875137329102
7400,21,0.03851723670959473,8.0,6.014724254608154,5.853227138519287
7500,19,0.030405037105083466,8.0,5.53409481048584,5.846131801605225
7600,20,nan,4.800000190734863,nan,5.9261794090271
7700,20,0.03367307037115097,4.0,6.457998275756836,6.060019493103027
7800,21,0.030881037935614586,4.0,5.454986095428467,5.780338287353516
7900,18,0.03320162743330002,4.0,4.961105823516846,5.242867469787598
8000,22,0.024852072820067406,4.0,4.78179931640625,4.8708577156066895
8100,18,0.021548911929130554,4.0,3.998074531555176,4.500770092010498
8200,24,0.029090767726302147,4.0,4.967828750610352,4.323338508605957
8300,20,0.030058352276682854,4.0,5.591423988342285,5.034796237945557
8400,22,0.031368352472782135,4.0,4.6670145988464355,5.113534927368164
8500,20,0.025551898404955864,4.0,4.6256537437438965,4.672543048858643
8600,25,0.03434695303440094,7.199999809265137,6.505998134613037,5.333255767822266
8700,23,0.03101854771375656,8.0,5.092303276062012,5.521091461181641
8800,19,0.029379574581980705,8.0,5.059459686279297,5.140782356262207
8900,20,nan,2.940000057220459,nan,5.216364860534668
