iter,time,loss_net,loss_scale,norm,norm_average
0,51,375.8620910644531,8.0,0.9632890820503235,9.909632682800293
100,604,944.736572265625,8.0,1837.68310546875,16.129104614257812
200,424,901.8136596679688,8.0,2495.383544921875,40.60457229614258
300,411,870.6224365234375,8.0,2453.76806640625,106.66670989990234
400,365,745.8632202148438,8.0,2212.354248046875,270.610107421875
500,421,867.3886108398438,8.0,2770.78125,673.6166381835938
600,405,781.0877075195312,8.0,2653.011474609375,1427.0301513671875
700,396,770.6490478515625,8.0,2965.486572265625,2043.2069091796875
800,425,770.8047485351562,8.0,3018.3076171875,2574.323974609375
900,405,671.30029296875,8.0,3127.105224609375,2789.319580078125
1000,423,733.1353759765625,8.079999923706055,3370.1240234375,3086.05322265625
1100,427,707.4553833007812,16.0,3450.1318359375,3245.9609375
1200,431,659.8421020507812,16.0,3743.97412109375,3500.1845703125
1300,396,636.2431030273438,16.0,3633.3173828125,3592.618408203125
1400,398,599.2391357421875,16.0,3818.586181640625,3628.421875
1500,405,587.2078247070312,16.0,3823.257568359375,3707.2080078125
1600,401,622.9511108398438,16.0,4027.76123046875,3814.8037109375
1700,413,567.9481811523438,16.0,4068.8330078125,3935.757080078125
1800,428,585.9823608398438,16.0,4069.325927734375,4011.4150390625
1900,421,598.318359375,16.0,4403.88525390625,4126.9375
2000,426,547.4555053710938,16.15999984741211,4238.330078125,4296.46923828125
2100,425,535.0281982421875,32.0,4382.19677734375,4207.01953125
2200,394,489.7554016113281,32.0,4201.900390625,4228.0537109375
2300,428,564.2538452148438,32.0,4588.0908203125,4354.3544921875
2400,402,512.2880249023438,32.0,4175.083984375,4373.9228515625
2500,403,479.1680908203125,30.079999923706055,inf,4291.7470703125
2600,412,498.8728942871094,16.0,4299.375,4268.150390625
2700,419,507.5057678222656,16.0,4040.0869140625,4180.31982421875
2800,424,514.73583984375,16.0,4387.869140625,4195.1796875
2900,375,389.87969970703125,16.0,3974.021484375,4135.404296875
3000,408,424.8014831542969,16.0,4057.363525390625,3991.5419921875
3100,409,452.2742614746094,16.0,4196.6376953125,4040.3642578125
3200,404,409.574951171875,16.0,4129.90673828125,4106.24072265625
3300,429,438.22735595703125,16.0,4476.115234375,4250.42431640625
3400,405,408.8319396972656,16.0,4452.40234375,4442.6435546875
3500,412,417.76605224609375,17.920000076293945,4462.85546875,4351.15576171875
3600,386,412.83734130859375,29.760000228881836,inf,4296.2646484375
3700,418,400.1888732910156,16.0,4483.978515625,4379.70556640625
3800,414,426.1116027832031,16.0,4578.0888671875,4392.275390625
3900,403,403.0888977050781,16.0,4597.82666015625,4460.33203125
4000,435,468.2606506347656,16.0,4997.10107421875,4755.2998046875
4100,394,369.796875,16.0,4176.58984375,4572.314453125
4200,416,418.8844909667969,16.0,4557.84521484375,4426.6943359375
4300,394,348.0809326171875,16.0,4350.41015625,4366.98779296875
4400,403,353.7538757324219,16.0,4292.56689453125,4296.38623046875
