iter,time,loss_net,loss_scale,norm,norm_average
0,27,0.3649062514305115,32768.0,inf,10.0
100,26,0.5186654925346375,1282.56005859375,inf,17.377656936645508
200,17,nan,148.47999572753906,nan,31.275991439819336
300,19,0.33828338980674744,128.0,36.397830963134766,34.40316390991211
400,18,0.2835005521774292,128.0,34.04149627685547,34.39844512939453
500,18,0.22091694176197052,128.0,33.05133056640625,31.532033920288086
600,22,0.21945685148239136,128.0,36.31490707397461,32.61167526245117
700,19,0.1871950924396515,128.0,28.678085327148438,30.819265365600586
800,21,0.1546754390001297,128.0,22.0333251953125,26.8872013092041
900,22,0.1467040479183197,128.0,22.12456703186035,24.09209442138672
1000,19,0.1372758001089096,128.0,23.5588321685791,22.594629287719727
1100,18,0.13356414437294006,128.0,23.117115020751953,23.4090576171875
1200,20,0.11686024814844131,235.52000427246094,17.75855255126953,20.82802963256836
1300,19,0.103127621114254,256.0,16.376792907714844,18.310457229614258
1400,22,0.10293159633874893,256.0,16.574121475219727,16.9432315826416
1500,19,0.09449491649866104,256.0,16.19610023498535,16.78665542602539
1600,21,nan,202.24000549316406,nan,17.09480094909668
1700,20,0.09479618072509766,128.0,15.158926963806152,16.694334030151367
1800,20,0.07451785355806351,128.0,12.095393180847168,14.193572044372559
1900,22,0.08450835943222046,128.0,15.797314643859863,13.898076057434082
2000,17,0.07455068081617355,128.0,10.665968894958496,13.437186241149902
2100,21,0.05804583057761192,128.0,10.638162612915039,11.767635345458984
2200,21,0.06277574598789215,128.0,10.289318084716797,10.949769020080566
2300,19,0.0715513825416565,128.0,10.624482154846191,10.495990753173828
2400,23,nan,69.76000213623047,nan,10.385210990905762
2500,23,0.07290785014629364,64.0,12.945452690124512,10.636914253234863
2600,21,0.05826723948121071,64.0,10.153244018554688,11.200252532958984
2700,22,0.059140920639038086,64.0,10.354657173156738,10.543444633483887
2800,27,nan,38.720001220703125,nan,9.923032760620117
2900,18,0.051799312233924866,32.0,9.519918441772461,9.635271072387695
3000,18,0.05395502224564552,32.0,9.824019432067871,9.90164566040039
3100,21,0.05785604938864708,32.0,10.595366477966309,9.595514297485352
3200,21,0.06155162677168846,32.0,10.919185638427734,10.677674293518066
